student_id,department,gender,admission_year,entrance_score_band,attendance_percentage,internal_marks,assignment_marks,quiz_marks,lab_marks,final_marks,login_count,content_views,assignment_submission_rate,average_session_minutes,gpa,cgpa,backlogs,academic_status,student_risk
STU00001,EEE,M,2023,HIGH,85.085,50.0,22.588333333333335,13.418333333333335,24.685000000000002,64.28333333333333,41.0,88.83333333333333,64.92333333333333,29.011666666666667,7.05,7.9,0,GOOD,LOW_RISK
STU00002,EEE,M,2021,MEDIUM,74.82000000000001,44.662,19.318,13.002,24.886000000000003,58.782000000000004,27.4,53.8,38.486000000000004,23.2,7.54,7.13,0,GOOD,LOW_RISK
STU00003,ECE,M,2022,LOW,79.945,48.480000000000004,25.0,12.045,19.14,61.559999999999995,27.5,54.0,38.78,19.235,7.47,7.57,0,GOOD,LOW_RISK
STU00004,EEE,M,2024,MEDIUM,82.3425,50.0,23.1925,13.8675,24.0775,60.1375,31.5,102.5,56.8,24.009999999999998,7.59,7.29,0,GOOD,LOW_RISK
STU00005,ECE,M,2024,MEDIUM,84.52333333333333,48.93666666666667,25.0,14.063333333333333,21.27,62.99666666666667,35.333333333333336,86.0,57.25,17.676666666666666,7.05,7.73,0,GOOD,LOW_RISK
STU00006,CSE,F,2021,HIGH,71.74000000000001,46.495,22.115000000000002,14.49,25.0,45.885,31.5,40.0,32.14,23.990000000000002,4.9,6.46,0,AT_RISK,HIGH_RISK
STU00007,IT,F,2023,LOW,88.795,42.54,25.0,10.815000000000001,24.34,57.455,27.0,79.5,45.71,7.41,6.82,6.58,0,AVERAGE,MEDIUM_RISK
STU00008,CIVIL,M,2021,MEDIUM,76.8,48.03,18.106666666666666,11.433333333333332,17.623333333333335,49.666666666666664,10.0,40.333333333333336,48.02333333333333,5.8066666666666675,7.1,7.04,0,GOOD,LOW_RISK
STU00009,IT,F,2022,HIGH,77.065,50.0,24.83,14.46,22.84,77.41,19.0,99.0,64.41,29.08,8.26,8.88,0,GOOD,LOW_RISK
STU00010,MECH,M,2021,HIGH,82.75,50.0,25.0,15.0,25.0,65.25666666666667,43.833333333333336,95.83333333333333,74.37666666666667,26.36,7.08,8.16,0,GOOD,LOW_RISK
STU00011,EEE,F,2023,MEDIUM,85.215,45.9525,25.0,14.6075,24.775,62.96,47.0,115.0,58.665,16.302500000000002,6.54,7.6,0,AVERAGE,MEDIUM_RISK
STU00012,EEE,F,2021,LOW,64.09400000000001,46.122,20.46,13.306000000000001,20.454,42.136,18.2,31.6,33.896,13.192000000000002,5.3,6.27,0,AVERAGE,MEDIUM_RISK
STU00013,ECE,M,2024,MEDIUM,72.046,42.089999999999996,17.502000000000002,11.592,19.014,52.31,13.8,57.0,28.715999999999998,4.486,6.12,6.47,0,AVERAGE,MEDIUM_RISK
STU00014,EEE,M,2023,HIGH,79.50999999999999,50.0,25.0,13.875,25.0,67.96000000000001,33.0,112.0,64.475,26.269999999999996,8.5,8.1,0,GOOD,LOW_RISK
STU00015,CIVIL,F,2023,HIGH,68.265,41.1675,21.8725,15.0,19.814999999999998,57.942499999999995,21.25,79.5,41.1875,14.93,6.73,7.07,0,AVERAGE,MEDIUM_RISK
STU00016,ECE,F,2024,LOW,65.96333333333332,40.153333333333336,15.049999999999999,11.706666666666669,22.656666666666666,51.57,25.333333333333332,73.66666666666667,41.71666666666667,8.733333333333334,5.45,6.5,0,AVERAGE,MEDIUM_RISK
STU00017,ECE,F,2022,LOW,63.575,35.095,25.0,15.0,19.619999999999997,57.004999999999995,23.0,97.5,48.595,11.305,5.68,6.46,0,AVERAGE,MEDIUM_RISK
STU00018,IT,F,2024,HIGH,84.354,50.0,23.968,15.0,25.0,65.04400000000001,48.8,96.0,66.014,32.134,8.02,8.18,0,GOOD,LOW_RISK
STU00019,CSE,F,2021,HIGH,66.555,31.915,12.995000000000001,5.5275,13.725,21.97,5.25,4.25,13.1475,8.4275,3.56,3.93,2,AT_RISK,HIGH_RISK
STU00020,IT,F,2021,MEDIUM,88.2925,50.0,25.0,14.3875,25.0,80.0275,53.5,136.0,85.945,31.86,8.25,8.36,0,GOOD,LOW_RISK
STU00021,IT,F,2021,LOW,62.45666666666667,40.96,22.77333333333333,12.049999999999999,16.44666666666667,41.126666666666665,19.666666666666668,17.333333333333332,34.723333333333336,9.906666666666666,4.65,5.48,0,AT_RISK,HIGH_RISK
STU00022,EEE,F,2023,MEDIUM,69.61500000000001,34.21,16.78,15.0,20.990000000000002,48.185,11.5,15.5,28.83,6.71,5.65,5.77,0,AVERAGE,MEDIUM_RISK
