student_id,department,gender,admission_year,entrance_score_band,attendance_percentage,internal_marks,assignment_marks,quiz_marks,lab_marks,final_marks,login_count,content_views,assignment_submission_rate,average_session_minutes,gpa,cgpa,backlogs,academic_status,student_risk,pc1,pc2,cluster
STU00001,EEE,M,2023,HIGH,85.085,50.0,22.58833333333333,13.418333333333337,24.685,64.28333333333333,41.0,88.83333333333333,64.92333333333333,29.011666666666667,7.05,7.9,0,GOOD,LOW_RISK,1.9417651899673398,0.2647941342945095,0
STU00002,EEE,M,2021,MEDIUM,74.82000000000001,44.662,19.318,13.002,24.886000000000003,58.782,27.4,53.8,38.486,23.2,7.54,7.13,0,GOOD,LOW_RISK,-0.23289041683729905,-0.4067625984382568,1
STU00003,ECE,M,2022,LOW,79.945,48.48,25.0,12.045,19.14,61.56,27.5,54.0,38.78,19.235,7.47,7.57,0,GOOD,LOW_RISK,-0.0104302981089394,-0.45457050183302067,0
STU00004,EEE,M,2024,MEDIUM,82.3425,50.0,23.1925,13.8675,24.0775,60.1375,31.5,102.5,56.8,24.01,7.59,7.29,0,GOOD,LOW_RISK,1.4127618461737221,-0.08532839521543564,0
STU00005,ECE,M,2024,MEDIUM,84.52333333333333,48.93666666666667,25.0,14.063333333333333,21.27,62.99666666666667,35.333333333333336,86.0,57.25,17.676666666666666,7.05,7.73,0,GOOD,LOW_RISK,1.1897494725246314,-0.10655317212413454,0
STU00006,CSE,F,2021,HIGH,71.74000000000001,46.495,22.115,14.49,25.0,45.885,31.5,40.0,32.14,23.99,4.9,6.46,0,AT_RISK,HIGH_RISK,-0.9390662569596236,-0.4958797083357049,1
STU00007,IT,F,2023,LOW,88.795,42.54,25.0,10.815,24.34,57.455,27.0,79.5,45.71,7.41,6.82,6.58,0,AVERAGE,MEDIUM_RISK,-0.2059239829906186,-0.1968200796339292,0
STU00008,CIVIL,M,2021,MEDIUM,76.8,48.03,18.106666666666666,11.433333333333332,17.623333333333335,49.66666666666666,10.0,40.333333333333336,48.02333333333333,5.806666666666668,7.1,7.04,0,GOOD,LOW_RISK,-2.035962764168259,-0.7504317418222562,1
STU00009,IT,F,2022,HIGH,77.065,50.0,24.83,14.46,22.84,77.41,19.0,99.0,64.41,29.08,8.26,8.88,0,GOOD,LOW_RISK,2.2152593553794393,-0.2148709164823062,0
STU00010,MECH,M,2021,HIGH,82.75,50.0,25.0,15.0,25.0,65.25666666666667,43.833333333333336,95.83333333333331,74.37666666666667,26.36,7.08,8.16,0,GOOD,LOW_RISK,2.510426678051828,0.16930199047211414,0
STU00011,EEE,F,2023,MEDIUM,85.215,45.9525,25.0,14.6075,24.775,62.96,47.0,115.0,58.665,16.302500000000002,6.54,7.6,0,AVERAGE,MEDIUM_RISK,1.752500431348006,0.20836685782058845,0
STU00012,EEE,F,2021,LOW,64.09400000000001,46.122,20.46,13.306,20.454,42.136,18.2,31.6,33.896,13.192000000000002,5.3,6.27,0,AVERAGE,MEDIUM_RISK,-2.523604479327257,-0.8939182951477611,1
STU00013,ECE,M,2024,MEDIUM,72.046,42.09,17.502000000000002,11.592,19.014,52.31,13.8,57.0,28.716,4.486,6.12,6.47,0,AVERAGE,MEDIUM_RISK,-2.746697858043315,-0.6246970576896066,1
STU00014,EEE,M,2023,HIGH,79.50999999999999,50.0,25.0,13.875,25.0,67.96000000000001,33.0,112.0,64.475,26.27,8.5,8.1,0,GOOD,LOW_RISK,2.371957690217174,-0.09045998652640137,0
STU00015,CIVIL,F,2023,HIGH,68.265,41.1675,21.8725,15.0,19.815,57.9425,21.25,79.5,41.1875,14.93,6.73,7.07,0,AVERAGE,MEDIUM_RISK,-0.9283332557487194,-0.5099588441467767,1
STU00016,ECE,F,2024,LOW,65.96333333333332,40.153333333333336,15.05,11.706666666666669,22.656666666666663,51.57,25.33333333333333,73.66666666666667,41.71666666666667,8.733333333333334,5.45,6.5,0,AVERAGE,MEDIUM_RISK,-2.3583982352915185,-0.23508928115187985,1
STU00017,ECE,F,2022,LOW,63.575,35.095,25.0,15.0,19.62,57.005,23.0,97.5,48.595,11.305,5.68,6.46,0,AVERAGE,MEDIUM_RISK,-1.3395225238063413,-0.3283374926247406,1
STU00018,IT,F,2024,HIGH,84.354,50.0,23.968,15.0,25.0,65.04400000000001,48.8,96.0,66.014,32.134,8.02,8.18,0,GOOD,LOW_RISK,2.8238887956393177,0.22896237304610445,0
STU00019,CSE,F,2021,HIGH,66.555,31.915,12.995,5.5275,13.725,21.97,5.25,4.25,13.1475,8.4275,3.56,3.93,2,AT_RISK,HIGH_RISK,-8.187497443925716,5.083610969184927,1
STU00020,IT,F,2021,MEDIUM,88.2925,50.0,25.0,14.3875,25.0,80.0275,53.5,136.0,85.945,31.86,8.25,8.36,0,GOOD,LOW_RISK,4.077697649085947,0.7622801780089182,0
STU00021,IT,F,2021,LOW,62.45666666666667,40.96,22.77333333333333,12.05,16.44666666666667,41.126666666666665,19.666666666666668,17.333333333333332,34.723333333333336,9.906666666666666,4.65,5.48,0,AT_RISK,HIGH_RISK,-3.6360192019373514,-0.7786306869054044,1
STU00022,EEE,F,2023,MEDIUM,69.61500000000001,34.21,16.78,15.0,20.99,48.185,11.5,15.5,28.83,6.71,5.65,5.77,0,AVERAGE,MEDIUM_RISK,-3.3679507663695505,-0.8257983880307744,1
STU00023,CSE,F,2023,HIGH,79.41,50.0,21.43,15.0,25.0,70.82,36.5,78.0,65.435,42.575,7.65,8.07,0,GOOD,LOW_RISK,2.4014320921513304,0.2398523960084094,0
STU00024,EEE,M,2023,LOW,74.0475,45.915,22.5725,12.21,20.3675,47.8025,15.0,34.25,30.8675,20.3075,6.41,6.18,0,AVERAGE,MEDIUM_RISK,-1.7371247812016546,-0.7150229469285925,1
STU00025,MECH,M,2022,LOW,77.93,41.7825,21.2875,14.3325,22.695,56.5775,13.25,37.25,37.3025,17.165,6.11,6.59,0,AVERAGE,MEDIUM_RISK,-1.2307215267219058,-0.5889100945863956,1
STU00026,CIVIL,F,2021,MEDIUM,74.13333333333333,50.0,24.33333333333333,15.0,24.026666666666667,62.35666666666666,26.0,62.66666666666666,57.18,14.589999999999998,8.52,7.45,0,EXCELLENT,LOW_RISK,0.9133465081248279,-0.8318672566027134,0
STU00027,ECE,F,2021,LOW,67.015,37.81,17.335,7.27,22.130000000000003,37.41,19.5,56.0,20.315,6.72,4.28,5.14,1,AT_RISK,HIGH_RISK,-4.723343162537975,2.3792978313146373,1
STU00028,CSE,F,2022,LOW,81.265,45.065,25.0,13.75,25.0,59.24,28.0,72.0,45.775,20.515,7.0,7.34,0,AVERAGE,MEDIUM_RISK,0.6539015875876554,-0.3305772183760712,0
STU00029,MECH,M,2024,LOW,63.31833333333333,36.751666666666665,12.201666666666668,9.545,15.576666666666668,39.556666666666665,8.0,28.5,9.956666666666663,5.678333333333334,3.57,5.36,3,AT_RISK,HIGH_RISK,-7.065989031079198,7.5972367063233905,1
STU00030,EEE,M,2023,LOW,85.272,46.760000000000005,25.0,13.11,25.0,63.716,36.0,101.4,72.24199999999999,30.236,8.51,7.42,0,EXCELLENT,LOW_RISK,2.2662809949014995,0.207126322575999,0
STU00031,IT,F,2024,HIGH,67.855,50.0,25.0,15.0,23.05,64.905,14.5,88.0,69.485,26.405,8.45,8.12,0,GOOD,LOW_RISK,1.383876193535084,-0.6278722214694417,0
STU00032,CSE,F,2022,HIGH,90.09666666666668,49.18,25.0,13.873333333333331,25.0,56.09333333333333,39.66666666666666,113.66666666666669,66.8,34.86,6.56,6.98,0,AVERAGE,MEDIUM_RISK,2.1885032749064703,0.5145725443186152,0
STU00033,ECE,M,2021,MEDIUM,70.72,44.81333333333333,24.68166666666667,11.295,23.266666666666666,61.59666666666666,25.5,58.833333333333336,46.79333333333333,16.203333333333333,6.17,6.96,0,AVERAGE,MEDIUM_RISK,-0.6246372768340218,-0.4190233714365972,1
STU00034,MECH,M,2024,LOW,76.092,48.588,23.864,13.726,23.104,74.776,24.8,74.2,47.856,28.276,5.09,8.15,0,AVERAGE,MEDIUM_RISK,0.7790762443217211,-0.006322422548922671,1
STU00035,ECE,F,2024,HIGH,83.36333333333334,50.0,25.0,15.0,25.0,83.61333333333333,52.333333333333336,127.66666666666669,83.38666666666666,35.79,8.62,8.93,0,EXCELLENT,LOW_RISK,4.268148690475188,0.6258967988727061,0
STU00036,MECH,F,2024,MEDIUM,62.612,36.82,16.184,10.232,19.606,55.918000000000006,14.2,46.2,22.734,3.642,6.2,6.22,0,AVERAGE,MEDIUM_RISK,-3.650139237769276,-0.6750249617763021,1
STU00037,EEE,M,2021,MEDIUM,75.805,37.175,22.345,10.995,17.135,55.95,33.5,60.0,12.05,5.57,5.42,5.8,0,AVERAGE,MEDIUM_RISK,-2.719082420531069,-0.2642258716414788,1
STU00038,ECE,M,2022,LOW,73.0675,47.465,24.985,13.8875,23.23,48.9475,39.5,77.0,48.8925,22.19,6.77,6.52,0,AVERAGE,MEDIUM_RISK,0.24275416939098843,-0.32722418524882657,1
