student_id,semester,gpa,backlogs,pass_fail,academic_status,cgpa
STU00001,1,9.94,0,PASS,EXCELLENT,9.94
STU00001,2,7.25,0,PASS,GOOD,8.59
STU00001,3,7.92,0,PASS,GOOD,8.37
STU00001,4,7.66,0,PASS,GOOD,8.19
STU00001,5,7.59,0,PASS,GOOD,8.07
STU00001,6,7.05,0,PASS,GOOD,7.9
STU00002,1,7.47,0,PASS,GOOD,7.47
STU00002,2,6.58,0,PASS,AVERAGE,7.02
STU00002,3,7.32,0,PASS,GOOD,7.12
STU00002,4,6.75,0,PASS,AVERAGE,7.03
STU00002,5,7.54,0,PASS,GOOD,7.13
STU00003,1,7.68,0,PASS,GOOD,7.68
STU00003,2,7.47,0,PASS,GOOD,7.57
STU00004,1,6.19,0,PASS,AVERAGE,6.19
STU00004,2,7.41,0,PASS,GOOD,6.8
STU00004,3,7.96,0,PASS,GOOD,7.19
STU00004,4,7.59,0,PASS,GOOD,7.29
STU00005,1,8.37,0,PASS,GOOD,8.37
STU00005,2,7.76,0,PASS,GOOD,8.06
STU00005,3,7.05,0,PASS,GOOD,7.73
STU00006,1,8.03,0,PASS,GOOD,8.03
STU00006,2,4.9,0,PASS,AT_RISK,6.46
STU00007,1,6.34,0,PASS,AVERAGE,6.34
STU00007,2,6.82,0,PASS,AVERAGE,6.58
STU00008,1,7.53,0,PASS,GOOD,7.53
STU00008,2,6.5,0,PASS,AVERAGE,7.02
STU00008,3,7.1,0,PASS,GOOD,7.04
STU00009,1,9.49,0,PASS,EXCELLENT,9.49
STU00009,2,8.26,0,PASS,GOOD,8.88
STU00010,1,8.97,0,PASS,EXCELLENT,8.97
STU00010,2,8.45,0,PASS,GOOD,8.71
STU00010,3,7.19,0,PASS,GOOD,8.2
STU00010,4,8.28,0,PASS,GOOD,8.22
STU00010,5,9.0,0,PASS,EXCELLENT,8.38
STU00010,6,7.08,0,PASS,GOOD,8.16
STU00011,1,7.82,0,PASS,GOOD,7.82
STU00011,2,9.04,0,PASS,EXCELLENT,8.43
STU00011,3,7.02,0,PASS,GOOD,7.96
STU00011,4,6.54,0,PASS,AVERAGE,7.6
STU00012,1,6.53,0,PASS,AVERAGE,6.53
STU00012,2,6.35,0,PASS,AVERAGE,6.44
STU00012,3,7.1,0,PASS,GOOD,6.66
STU00012,4,6.09,0,PASS,AVERAGE,6.52
STU00012,5,5.3,0,PASS,AVERAGE,6.27
STU00013,1,4.43,0,PASS,AT_RISK,4.43
STU00013,2,5.35,0,PASS,AVERAGE,4.89
STU00013,3,9.27,0,PASS,EXCELLENT,6.35
STU00013,4,7.2,0,PASS,GOOD,6.56
STU00013,5,6.12,0,PASS,AVERAGE,6.47
STU00014,1,7.7,0,PASS,GOOD,7.7
STU00014,2,8.5,0,PASS,GOOD,8.1
STU00015,1,6.56,0,PASS,AVERAGE,6.56
STU00015,2,7.47,0,PASS,GOOD,7.02
STU00015,3,7.51,0,PASS,GOOD,7.18
STU00015,4,6.73,0,PASS,AVERAGE,7.07
STU00016,1,7.05,0,PASS,GOOD,7.05
STU00016,2,6.99,0,PASS,AVERAGE,7.02
STU00016,3,5.45,0,PASS,AVERAGE,6.5
STU00017,1,7.24,0,PASS,GOOD,7.24
STU00017,2,5.68,0,PASS,AVERAGE,6.46
STU00018,1,9.76,0,PASS,EXCELLENT,9.76
STU00018,2,8.2,0,PASS,GOOD,8.98
STU00018,3,6.94,0,PASS,AVERAGE,8.3
STU00018,4,7.99,0,PASS,GOOD,8.22
STU00018,5,8.02,0,PASS,GOOD,8.18
STU00019,1,4.15,1,PASS,AT_RISK,4.15
STU00019,2,3.42,1,FAIL,AT_RISK,3.78
STU00019,3,4.58,0,PASS,AT_RISK,4.05
STU00019,4,3.56,2,FAIL,AT_RISK,3.93
STU00020,1,8.38,0,PASS,GOOD,8.38
STU00020,2,7.47,0,PASS,GOOD,7.93
STU00020,3,9.33,0,PASS,EXCELLENT,8.39
STU00020,4,8.25,0,PASS,GOOD,8.36
STU00021,1,5.49,0,PASS,AVERAGE,5.49
STU00021,2,6.3,0,PASS,AVERAGE,5.9
STU00021,3,4.65,0,PASS,AT_RISK,5.48
STU00022,1,5.89,0,PASS,AVERAGE,5.89
STU00022,2,5.65,0,PASS,AVERAGE,5.77
STU00023,1,8.49,0,PASS,GOOD,8.49
STU00023,2,7.65,0,PASS,GOOD,8.07
STU00024,1,5.68,0,PASS,AVERAGE,5.68
STU00024,2,5.76,0,PASS,AVERAGE,5.72
STU00024,3,6.88,0,PASS,AVERAGE,6.11
STU00024,4,6.41,0,PASS,AVERAGE,6.18
STU00025,1,6.54,0,PASS,AVERAGE,6.54
STU00025,2,7.21,0,PASS,GOOD,6.88
STU00025,3,6.49,0,PASS,AVERAGE,6.75
STU00025,4,6.11,0,PASS,AVERAGE,6.59
STU00026,1,7.41,0,PASS,GOOD,7.41
STU00026,2,6.41,0,PASS,AVERAGE,6.91
STU00026,3,8.52,0,PASS,EXCELLENT,7.45
STU00027,1,6.0,0,PASS,AVERAGE,6.0
STU00027,2,4.28,1,PASS,AT_RISK,5.14
STU00028,1,7.67,0,PASS,GOOD,7.67
STU00028,2,7.0,0,PASS,AVERAGE,7.34
STU00029,1,5.26,0,PASS,AVERAGE,5.26
STU00029,2,4.01,1,FAIL,AT_RISK,4.64
STU00029,3,6.0,0,PASS,AVERAGE,5.09
STU00029,4,6.98,0,PASS,AVERAGE,5.56
STU00029,5,6.35,0,PASS,AVERAGE,5.72
STU00029,6,3.57,3,FAIL,AT_RISK,5.36
STU00030,1,7.99,0,PASS,GOOD,7.99
STU00030,2,6.57,0,PASS,AVERAGE,7.28
STU00030,3,6.58,0,PASS,AVERAGE,7.05
STU00030,4,7.43,0,PASS,GOOD,7.14
STU00030,5,8.51,0,PASS,EXCELLENT,7.42
STU00031,1,7.78,0,PASS,GOOD,7.78
STU00031,2,8.45,0,PASS,GOOD,8.12
STU00032,1,7.79,0,PASS,GOOD,7.79
STU00032,2,6.58,0,PASS,AVERAGE,7.18
STU00032,3,6.56,0,PASS,AVERAGE,6.98
STU00033,1,8.23,0,PASS,GOOD,8.23
STU00033,2,7.41,0,PASS,GOOD,7.82
STU00033,3,7.43,0,PASS,GOOD,7.69
STU00033,4,5.62,0,PASS,AVERAGE,7.17
STU00033,5,6.9,0,PASS,AVERAGE,7.12
STU00033,6,6.17,0,PASS,AVERAGE,6.96
STU00034,1,8.9,0,PASS,EXCELLENT,8.9
STU00034,2,9.48,0,PASS,EXCELLENT,9.19
STU00034,3,9.09,0,PASS,EXCELLENT,9.16
STU00034,4,8.17,0,PASS,GOOD,8.91
STU00034,5,5.09,0,PASS,AVERAGE,8.15
STU00035,1,9.06,0,PASS,EXCELLENT,9.06
STU00035,2,9.11,0,PASS,EXCELLENT,9.09
STU00035,3,8.62,0,PASS,EXCELLENT,8.93
STU00036,1,7.76,0,PASS,GOOD,7.76
STU00036,2,6.55,0,PASS,AVERAGE,7.15
STU00036,3,5.35,0,PASS,AVERAGE,6.55
STU00036,4,5.22,0,PASS,AVERAGE,6.22
STU00036,5,6.2,0,PASS,AVERAGE,6.22
STU00037,1,6.19,0,PASS,AVERAGE,6.19
STU00037,2,5.42,0,PASS,AVERAGE,5.8
STU00038,1,7.31,0,PASS,GOOD,7.31
STU00038,2,5.45,0,PASS,AVERAGE,6.38
