student_id,course_id,semester,internal_marks,assignment_marks,quiz_marks,lab_marks,final_marks
STU00001,EE304,1,50.0,25.0,15.0,25.0,86.59
STU00001,EE305,2,50.0,17.04,9.64,25.0,55.48
STU00001,EE304,3,50.0,20.46,15.0,25.0,53.82
STU00001,EE302,4,50.0,23.03,15.0,23.11,70.14
STU00001,EE304,5,50.0,25.0,10.87,25.0,62.11
STU00001,EE302,6,50.0,25.0,15.0,25.0,57.56
STU00002,EE301,1,38.96,25.0,15.0,24.43,67.3
STU00002,EE301,2,50.0,6.53,15.0,25.0,51.67
STU00002,EE301,3,45.06,19.2,12.41,25.0,59.2
STU00002,EE304,4,46.78,22.12,7.6,25.0,58.39
STU00002,EE303,5,42.51,23.74,15.0,25.0,57.35
STU00003,EC303,1,46.96,25.0,14.43,17.33,67.82
STU00003,EC301,2,50.0,25.0,9.66,20.95,55.3
STU00004,EE304,1,50.0,22.97,15.0,25.0,48.46
STU00004,EE304,2,50.0,19.8,10.47,25.0,66.79
STU00004,EE305,3,50.0,25.0,15.0,21.31,71.11
STU00004,EE303,4,50.0,25.0,15.0,25.0,54.19
STU00005,EC301,1,50.0,25.0,15.0,25.0,68.36
STU00005,EC303,2,50.0,25.0,12.19,18.29,55.49
STU00005,EC301,3,46.81,25.0,15.0,20.52,65.14
STU00006,CS304,1,49.87,25.0,15.0,25.0,63.9
STU00006,CS305,2,43.12,19.23,13.98,25.0,27.87
STU00007,IT302,1,42.3,25.0,10.97,25.0,54.7
STU00007,IT304,2,42.78,25.0,10.66,23.68,60.21
STU00008,CE301,1,48.28,13.49,15.0,25.0,61.98
STU00008,CE302,2,50.0,15.83,13.09,2.87,37.3
STU00008,CE302,3,45.81,25.0,6.21,25.0,49.72
STU00009,IT302,1,50.0,25.0,15.0,20.68,88.07
STU00009,IT304,2,50.0,24.66,13.92,25.0,66.75
STU00010,ME305,1,50.0,25.0,15.0,25.0,70.65
