student_id,course_id,semester,total_classes,attended_classes,attendance_percentage
STU00001,EE304,1,66,55,83.33
STU00001,EE305,2,60,48,80.0
STU00001,EE304,3,58,48,82.76
STU00001,EE302,4,66,65,98.48
STU00001,EE304,5,68,58,85.29
STU00001,EE302,6,62,50,80.65
STU00002,EE301,1,65,44,67.69
STU00002,EE301,2,69,52,75.36
STU00002,EE301,3,59,52,88.14
STU00002,EE304,4,66,46,69.7
STU00002,EE303,5,56,41,73.21
STU00003,EC303,1,70,67,95.71
STU00003,EC301,2,67,43,64.18
STU00004,EE304,1,64,47,73.44
STU00004,EE304,2,62,52,83.87
STU00004,EE305,3,68,57,83.82
STU00004,EE303,4,68,60,88.24
STU00005,EC301,1,70,60,85.71
STU00005,EC303,2,60,51,85.0
STU00005,EC301,3,70,58,82.86
STU00006,CS304,1,69,53,76.81
STU00006,CS305,2,57,38,66.67
STU00007,IT302,1,67,72,67.16
STU00007,IT304,2,58,45,77.59
STU00008,CE301,1,66,57,86.36
STU00008,CE302,2,65,49,75.38
STU00008,CE302,3,67,46,-1.0
STU00009,IT302,1,68,53,77.94
STU00009,IT304,2,63,48,76.19
STU00010,ME305,1,63,49,77.78
STU00010,ME304,2,66,55,83.33
STU00010,ME304,3,67,57,85.07
STU00010,ME304,4,63,53,84.13
STU00010,ME302,5,69,54,78.26
STU00010,ME301,6,58,51,87.93
STU00011,EE304,1,70,66,94.29
STU00011,EE302,2,59,50,84.75
STU00011,EE301,3,58,44,75.86
STU00011,EE301,4,57,49,85.96
STU00012,EE301,1,60,42,70.0
STU00012,EE304,2,65,38,58.46
STU00012,EE302,3,64,44,68.75
STU00012,EE305,4,58,40,68.97
STU00012,EE301,5,70,38,54.29
STU00013,EC302,1,64,47,73.44
STU00013,EC304,2,70,50,71.43
STU00013,EC305,3,63,51,80.95
STU00013,EC305,4,65,46,70.77
STU00013,EC305,5,55,35,63.64
STU00014,EE304,1,58,46,79.31
STU00014,EE304,2,69,55,79.71
