student_id,course_id,course_name,department,semester
STU00001,EE304,Power Electronics,EEE,1
STU00001,EE305,Circuit Theory,EEE,2
STU00001,EE304,Power Electronics,EEE,3
STU00001,EE302,Control Systems,EEE,4
STU00001,EE304,Power Electronics,EEE,5
STU00001,EE302,Control Systems,EEE,6
STU00002,EE301,Power Systems,EEE,1
STU00002,EE301,Power Systems,EEE,2
STU00002,EE301,Power Systems,EEE,3
STU00002,EE304,Power Electronics,EEE,4
STU00002,EE303,Electrical Machines,EEE,5
STU00003,EC303,Communication Systems,ECE,1
STU00003,EC301,Signals and Systems,ECE,2
STU00004,EE304,Power Electronics,EEE,1
STU00004,EE304,Power Electronics,EEE,2
STU00004,EE305,Circuit Theory,EEE,3
STU00004,EE303,Electrical Machines,EEE,4
STU00005,EC301,Signals and Systems,ECE,1
STU00005,EC303,Communication Systems,ECE,2
STU00005,EC301,Signals and Systems,ECE,3
STU00006,CS304,Computer Networks,CSE,1
STU00006,CS305,Data Warehousing and Mining,CSE,2
STU00007,IT302,Cloud Computing,IT,1
STU00007,IT304,Information Security,IT,2
STU00008,CE301,Structural Analysis,CIVIL,1
STU00008,CE302,Geotechnical Eng,CIVIL,2
STU00008,CE302,Geotechnical Eng,CIVIL,3
STU00009,IT302,Cloud Computing,IT,1
STU00009,IT304,Information Security,IT,2
STU00010,ME305,Heat Transfer,MECH,1
STU00010,ME304,Manufacturing Tech,MECH,2
STU00010,ME304,Manufacturing Tech,MECH,3
STU00010,ME304,Manufacturing Tech,MECH,4
STU00010,ME302,Fluid Mechanics,MECH,5
STU00010,ME301,Thermodynamics,MECH,6
STU00011,EE304,Power Electronics,EEE,1
STU00011,EE302,Control Systems,EEE,2
STU00011,EE301,Power Systems,EEE,3
STU00011,EE301,Power Systems,EEE,4
STU00012,EE301,Power Systems,EEE,1
STU00012,EE304,Power Electronics,EEE,2
STU00012,EE302,Control Systems,EEE,3
STU00012,EE305,Circuit Theory,EEE,4
STU00012,EE301,Power Systems,EEE,5
STU00013,EC302,Digital Electronics,ECE,1
STU00013,EC304,VLSI Design,ECE,2
STU00013,EC305,Microprocessors,ECE,3
STU00013,EC305,Microprocessors,ECE,4
STU00013,EC305,Microprocessors,ECE,5
STU00014,EE304,Power Electronics,EEE,1
STU00014,EE304,Power Electronics,EEE,2
STU00015,CE304,Concrete Tech,CIVIL,1
STU00015,CE304,Concrete Tech,CIVIL,2
STU00015,CE301,Structural Analysis,CIVIL,3
STU00015,CE305,Transportation Eng,CIVIL,4
STU00016,EC304,VLSI Design,ECE,1
STU00016,EC302,Digital Electronics,ECE,2
STU00016,EC304,VLSI Design,ECE,3
STU00017,EC305,Microprocessors,ECE,1
STU00017,EC305,Microprocessors,ECE,2
STU00018,IT305,Mobile Computing,IT,1
STU00018,IT305,Mobile Computing,IT,2
STU00018,IT304,Information Security,IT,3
STU00018,IT304,Information Security,IT,4
STU00018,IT305,Mobile Computing,IT,5
STU00019,CS303,Operating Systems,CSE,1
STU00019,CS301,Data Structures,CSE,2
STU00019,CS302,DBMS,CSE,3
STU00019,CS303,Operating Systems,CSE,4
STU00020,IT304,Information Security,IT,1
STU00020,IT304,Information Security,IT,2
STU00020,IT303,Software Engineering,IT,3
STU00020,IT303,Software Engineering,IT,4
STU00021,IT302,Cloud Computing,IT,1
STU00021,IT303,Software Engineering,IT,2
STU00021,IT301,Web Technologies,IT,3
STU00022,EE303,Electrical Machines,EEE,1
STU00022,EE301,Power Systems,EEE,2
STU00023,CS304,Computer Networks,CSE,1
STU00023,CS305,Data Warehousing and Mining,CSE,2
STU00024,EE301,Power Systems,EEE,1
STU00024,EE305,Circuit Theory,EEE,2
STU00024,EE303,Electrical Machines,EEE,3
STU00024,EE305,Circuit Theory,EEE,4
STU00025,ME305,Heat Transfer,MECH,1
STU00025,ME304,Manufacturing Tech,MECH,2
STU00025,ME302,Fluid Mechanics,MECH,3
