student_id,course_id,semester,login_count,content_views,assignment_submission_rate,average_session_minutes
STU00001,EE304,1,50,88,74.94,22.74
STU00001,EE305,2,44,75,51.48,42.03
STU00001,EE304,3,45,84,64.93,21.35
STU00001,EE302,4,17,62,70.79,34.76
STU00001,EE304,5,53,112,47.27,30.61
STU00001,EE302,6,37,112,80.13,22.58
STU00002,EE301,1,31,49,50.25,33.75
STU00002,EE301,2,28,9,43.28,21.94
STU00002,EE301,3,21,84,47.08,28.05
STU00002,EE304,4,27,61,28.93,14.16
STU00002,EE303,5,30,66,22.89,18.1
STU00003,EC303,1,35,89,32.91,31.56
STU00003,EC301,2,20,19,44.65,6.91
STU00004,EE304,1,38,129,41.13,26.01
STU00004,EE304,2,39,101,52.26,26.49
STU00004,EE305,3,24,114,74.32,15.96
STU00004,EE303,4,25,66,59.49,27.58
STU00005,EC301,1,23,52,61.88,20.2
STU00005,EC303,2,43,90,41.14,24.17
STU00005,EC301,3,40,116,68.73,8.66
STU00006,CS304,1,33,74,33.08,22.34
STU00006,CS305,2,30,6,31.2,25.64
STU00007,IT302,1,18,130,51.52,2.0
STU00007,IT304,2,36,29,39.9,12.82
STU00008,CE301,1,3,38,50.83,7.17
STU00008,CE302,2,18,16,55.22,2.0
STU00008,CE302,3,9,67,38.02,8.25
STU00009,IT302,1,11,83,66.1,26.42
STU00009,IT304,2,27,115,62.72,31.74
STU00010,ME305,1,58,89,77.92,26.52
STU00010,ME304,2,50,97,75.24,27.24
STU00010,ME304,3,56,130,78.84,34.82
STU00010,ME304,4,32,97,76.31,22.9
STU00010,ME302,5,25,64,62.73,26.41
STU00010,ME301,6,42,98,75.22,20.27
STU00011,EE304,1,37,95,52.15,24.82
STU00011,EE302,2,39,157,51.73,16.17
STU00011,EE301,3,59,120,54.5,15.59
STU00011,EE301,4,53,88,76.28,8.63
STU00012,EE301,1,19,59,37.85,2.0
STU00012,EE304,2,31,45,54.04,29.28
STU00012,EE302,3,30,0,15.11,2.0
STU00012,EE305,4,0,42,33.92,11.4
STU00012,EE301,5,11,12,28.56,21.28
STU00013,EC302,1,2,101,28.74,4.33
STU00013,EC304,2,10,34,0.69,2.0
STU00013,EC305,3,30,38,16.85,2.0
STU00013,EC305,4,27,42,46.07,12.1
STU00013,EC305,5,0,70,51.23,2.0
STU00014,EE304,1,45,103,67.02,18.88
STU00014,EE304,2,21,121,61.93,33.66
STU00015,CE304,1,4,59,26.18,9.76
STU00015,CE304,2,10,76,58.01,2.0
STU00015,CE301,3,22,96,43.76,19.66
STU00015,CE305,4,49,87,36.8,28.3
STU00016,EC304,1,24,43,43.48,2.0
STU00016,EC302,2,27,118,35.7,15.89
STU00016,EC304,3,25,60,45.97,8.31
STU00017,EC305,1,38,67,59.08,6.89
STU00017,EC305,2,8,128,38.11,15.72
STU00018,IT305,1,63,94,61.59,28.13
STU00018,IT305,2,31,60,83.34,30.12
STU00018,IT304,3,41,102,41.1,28.84
STU00018,IT304,4,74,111,73.63,29.15
STU00018,IT305,5,35,113,70.41,44.43
STU00019,CS303,1,0,0,26.03,11.36
STU00019,CS301,2,11,0,0.5,9.11
STU00019,CS302,3,0,17,0.0,11.24
STU00019,CS303,4,10,0,26.06,2.0
STU00020,IT304,1,53,135,82.96,34.36
STU00020,IT304,2,52,141,80.84,27.15
STU00020,IT303,3,55,160,100.0,45.07
STU00020,IT303,4,54,108,79.98,20.86
STU00021,IT302,1,15,7,30.59,3.12
STU00021,IT303,2,34,14,43.94,15.95
STU00021,IT301,3,10,31,29.64,10.65
STU00022,EE303,1,11,0,25.78,10.33
STU00022,EE301,2,12,31,31.88,3.09
STU00023,CS304,1,25,83,54.34,38.32
STU00023,CS305,2,48,73,76.53,46.83
STU00024,EE301,1,4,24,22.47,6.13
STU00024,EE305,2,20,72,21.04,17.63
STU00024,EE303,3,13,35,26.87,25.7
STU00024,EE305,4,23,6,53.09,31.77
STU00025,ME305,1,7,2,20.25,11.28
STU00025,ME304,2,11,28,41.55,18.43
STU00025,ME302,3,23,75,43.05,25.43
STU00025,ME304,4,12,44,44.36,13.52
STU00026,CE305,1,33,123,49.88,23.2
STU00026,CE303,2,32,55,65.36,5.18
STU00026,CE302,3,13,10,56.3,15.39
STU00027,EC305,1,10,85,7.19,2.0
STU00027,EC303,2,29,27,33.44,11.44
STU00028,CS303,1,30,122,44.43,39.03
STU00028,CS302,2,26,22,47.12,2.0
STU00029,ME301,1,0,56,18.18,2.0
STU00029,ME303,2,1,65,15.34,2.0
STU00029,ME305,3,9,38,15.28,13.56
STU00029,ME304,4,6,0,1.85,2.0
STU00029,ME303,5,9,12,9.09,9.2
STU00029,ME303,6,23,0,0.0,5.31
STU00030,EE305,1,47,51,83.25,40.02
STU00030,EE302,2,39,133,72.06,22.51
STU00030,EE304,3,23,133,59.92,29.68
STU00030,EE305,4,20,85,83.55,34.72
STU00030,EE305,5,51,105,62.43,24.25
STU00031,IT305,1,9,111,60.08,32.35
STU00031,IT305,2,20,65,78.89,20.46
STU00032,CS304,1,39,124,75.55,36.78
STU00032,CS305,2,36,103,66.14,29.13
STU00032,CS305,3,44,114,58.71,38.67
STU00033,EC302,1,17,40,20.86,12.29
STU00033,EC304,2,24,0,74.19,4.78
STU00033,EC302,3,38,92,50.07,19.72
STU00033,EC303,4,14,75,63.4,27.86
STU00033,EC304,5,16,73,30.69,12.67
STU00033,EC301,6,44,73,41.55,19.9
STU00034,ME303,1,17,60,45.83,30.73
